,months_as_customer,policy_deductable,umbrella_limit,capital-gains,capital-loss,incident_hour_of_the_day,number_of_vehicles_involved,bodily_injuries,witnesses,injury_claim,property_claim,vehicle_claim,policy_csl_250/500,policy_csl_500/1000,insured_sex_MALE,insured_education_level_College,insured_education_level_High School,insured_education_level_JD,insured_education_level_MD,insured_education_level_Masters,insured_education_level_PhD,insured_occupation_armed-forces,insured_occupation_craft-repair,insured_occupation_exec-managerial,insured_occupation_farming-fishing,insured_occupation_handlers-cleaners,insured_occupation_machine-op-inspct,insured_occupation_other-service,insured_occupation_priv-house-serv,insured_occupation_prof-specialty,insured_occupation_protective-serv,insured_occupation_sales,insured_occupation_tech-support,insured_occupation_transport-moving,insured_relationship_not-in-family,insured_relationship_other-relative,insured_relationship_own-child,insured_relationship_unmarried,insured_relationship_wife,incident_type_Parked Car,incident_type_Single Vehicle Collision,incident_type_Vehicle Theft,collision_type_Rear Collision,collision_type_Side Collision,incident_severity_Minor Damage,incident_severity_Total Loss,incident_severity_Trivial Damage,authorities_contacted_Fire,authorities_contacted_None,authorities_contacted_Other,authorities_contacted_Police,property_damage_YES,police_report_available_YES
856,0.776117426064624,1.42941662020131,-0.46812336418620953,1.0205508390621019,0.9269101890894585,1.4980834456901957,1.1512908743417392,-1.2437309318975538,-0.43549520171800854,-0.14405811402969113,-0.1384367158273598,0.8108269902203467,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
672,-1.1832853069443303,1.42941662020131,-0.46812336418620953,-0.8996798476499938,0.9269101890894585,-1.5515241890029128,1.1512908743417392,-0.016364880682862654,-1.3377642660508993,-0.6683639686124174,-0.6724778743718995,-0.680538172405745,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
937,2.2135831865253417,-0.22117993892260457,-0.46812336418620953,0.20868860019485552,0.9269101890894585,1.6433028568660581,-0.8223506245298137,1.2110011705318287,0.46677386261488224,1.4288594497184879,1.4636867598062595,0.29778075739493626,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1
730,-0.7126863972696906,-1.046478218484562,-0.46812336418620953,0.1098531972023212,0.9269101890894585,1.6433028568660581,-0.8223506245298137,-1.2437309318975538,-1.3377642660508993,-0.5911406256893802,0.32108707175747675,-0.33262220480146876,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
402,-0.34476361334224503,1.42941662020131,-0.46812336418620953,1.542966540594069,-0.3876185426702043,1.6433028568660581,1.1512908743417392,1.2110011705318287,-1.3377642660508993,0.16889964413209127,-0.6641981664874881,-0.2443450189914285,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
554,0.04027185820973289,-1.046478218484562,-0.46812336418620953,-0.8996798476499938,0.9269101890894585,-0.24454948842015203,1.1512908743417392,-0.016364880682862654,0.46677386261488224,0.2054791223587931,0.21759072320233339,-0.6400345224458441,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1
771,0.08305357727106377,-1.046478218484562,-0.46812336418620953,1.4935488390978018,0.9269101890894585,1.4980834456901957,-0.8223506245298137,-0.016364880682862654,-0.43549520171800854,0.2176722817676937,-0.6393590428342537,-0.6306875263012517,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0
10,0.30551851638998434,-1.046478218484562,1.3140721847460601,0.4557771076761914,0.9269101890894585,1.4980834456901957,-0.8223506245298137,1.2110011705318287,0.46677386261488224,0.11809481326167204,1.7658960975872784,1.3467214358436497,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0
700,-0.977933055449942,1.42941662020131,3.5418166209113973,-0.8996798476499938,0.9269101890894585,-1.5515241890029128,0.16447012490596283,1.2110011705318287,-0.43549520171800854,1.5345334979289598,0.03129729580307532,0.7651305646245611,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
707,-0.40465802002810825,-0.22117993892260457,-0.46812336418620953,-0.8996798476499938,0.9269101890894585,-1.4063047778270505,-0.8223506245298137,-1.2437309318975538,0.46677386261488224,0.03680708386900129,0.04578678460079539,1.5705300657502812,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0
16,-1.1062782126339346,-0.22117993892260457,1.7596210719791274,1.3452957346090002,0.9269101890894585,-1.6967436001787752,1.1512908743417392,-0.016364880682862654,0.46677386261488224,-0.31273015251948294,-0.3102406544288978,0.16536497867987593,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
661,1.118371178555271,-0.22117993892260457,-0.46812336418620953,-0.8996798476499938,0.9269101890894585,-0.24454948842015203,-0.8223506245298137,-0.016364880682862654,1.369042926947773,0.9289399139535628,-0.2771218228912519,0.2235240658017848,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
376,-1.0891655250094023,-1.046478218484562,-0.46812336418620953,-0.8996798476499938,-2.1331987013754476,-0.38976889959601435,-0.8223506245298137,-0.016364880682862654,-1.3377642660508993,-0.14405811402969113,-0.1384367158273598,0.8108269902203467,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
819,1.3408361176741916,1.42941662020131,-0.46812336418620953,-0.8996798476499938,0.9269101890894585,-0.9706465442994636,-0.8223506245298137,-1.2437309318975538,1.369042926947773,-0.3533740172158183,0.8054499829955477,0.3829422778234457,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0
799,-1.414306589875517,1.42941662020131,-0.46812336418620953,-0.8996798476499938,-0.05987696185207697,1.2076446233384712,-0.8223506245298137,-1.2437309318975538,-0.43549520171800854,-1.3552452819804852,-1.3721131906046686,-1.8021777097568445,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0
983,-1.559764434684042,-0.22117993892260457,-0.46812336418620953,0.24751679422763687,-1.9515158685306164,-0.38976889959601435,-0.8223506245298137,1.2110011705318287,-0.43549520171800854,-1.401985726381271,-1.4197215109400347,-1.8052933751383753,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
970,0.11727895252012847,-1.046478218484562,-0.46812336418620953,1.1652741077297413,-1.8410812054288561,0.19110874510743492,-0.8223506245298137,1.2110011705318287,-1.3377642660508993,1.2500264450546121,-0.11359759217412539,0.86067763632484,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1
766,0.21139873445505641,-0.22117993892260457,-0.46812336418620953,-0.8996798476499938,-0.7509842083598672,1.3528640345143335,1.1512908743417392,1.2110011705318287,-0.43549520171800854,1.022420802755134,-0.22951350255588596,0.30712775353952876,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
763,-1.1405035878829994,-1.046478218484562,-0.46812336418620953,-0.15488448938482435,-1.2390341710999047,-1.4063047778270505,1.1512908743417392,-1.2437309318975538,0.46677386261488224,0.9330043004231963,0.9586245788571599,0.2271590087469041,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
698,-0.30198189428091415,-1.046478218484562,-0.46812336418620953,0.6710970927670697,-1.0644761552293802,-0.9706465442994636,-0.8223506245298137,-0.016364880682862654,-1.3377642660508993,-1.3918247602071872,-1.4093718760845204,-1.7647897251784745,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0
481,-1.5340954032472434,-0.22117993892260457,-0.46812336418620953,-0.8996798476499938,-0.5408021076178073,0.3363281562832972,-0.8223506245298137,-1.2437309318975538,-1.3377642660508993,1.0671290539211031,-0.20674430587375442,0.3471121259358411,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0
789,-0.2592001752195833,-1.046478218484562,-0.46812336418620953,-0.8996798476499938,-1.1250370995109908,-1.6967436001787752,-0.8223506245298137,-1.2437309318975538,-1.3377642660508993,0.08354752826978697,-0.7076666328806483,-0.5325440667830305,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1
349,0.26273679732865346,-0.22117993892260457,2.6507188464452622,1.5217875256670972,0.13249309645421514,-1.6967436001787752,-0.8223506245298137,-0.016364880682862654,1.369042926947773,1.5264047249896928,1.5630432544191972,0.37255672655167626,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
584,-0.883813273515014,-0.22117993892260457,-0.46812336418620953,-0.8996798476499938,0.9269101890894585,-1.1158659554753259,-0.8223506245298137,-0.016364880682862654,0.46677386261488224,-1.3532130887456686,-1.3700432636335658,-1.6957258092212077,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0
317,0.6477722688806313,1.42941662020131,-0.46812336418620953,0.49107546588781076,-1.349468834201665,-0.5349883107718767,1.1512908743417392,-0.016364880682862654,-0.43549520171800854,-0.40011446161660397,0.7102333423248158,0.5657279802065879,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0
713,-1.2089543383811288,1.42941662020131,1.7596210719791274,1.129975749518122,0.9269101890894585,-0.5349883107718767,-0.8223506245298137,1.2110011705318287,-0.43549520171800854,-0.558625533932312,0.38732473483276847,-0.03663399355603969,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
828,-0.8068061792046185,-1.046478218484562,-0.46812336418620953,-0.8996798476499938,0.9269101890894585,0.045889333931572594,1.1512908743417392,1.2110011705318287,0.46677386261488224,0.9695837786498981,-0.2564225531802232,0.2598734952529778,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
210,-1.1661726193197979,1.42941662020131,-0.46812336418620953,-0.8996798476499938,0.9269101890894585,-0.6802077219477389,-0.8223506245298137,1.2110011705318287,-1.3377642660508993,-1.2820863255270816,-1.2975958196449655,-1.7274017406001045,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0
408,0.6477722688806313,1.42941662020131,-0.46812336418620953,-0.8996798476499938,-0.6868608555911031,0.7719863898108842,-0.8223506245298137,-0.016364880682862654,1.369042926947773,0.1079338470875882,0.11823422858939574,-0.5107344091123146,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1
246,-1.6881095918680347,-0.22117993892260457,-0.46812336418620953,-0.8996798476499938,0.9269101890894585,1.0624252121626088,-0.8223506245298137,-1.2437309318975538,0.46677386261488224,-0.17657320578675942,-0.17155554736500567,0.4089061560028693,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1
234,-1.4742009965613803,1.42941662020131,-0.46812336418620953,-0.8996798476499938,-0.23087256923544774,-0.24454948842015203,1.1512908743417392,-1.2437309318975538,0.46677386261488224,-0.40011446161660397,0.7102333423248158,0.009062432039745848,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
277,0.5536524869457035,-1.046478218484562,-0.46812336418620953,1.062908868916045,0.9269101890894585,-1.1158659554753259,-0.8223506245298137,-0.016364880682862654,-1.3377642660508993,0.74197813635042,-0.3723384635619838,0.3414000727363679,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0
777,0.33974389163904906,-1.046478218484562,-0.46812336418620953,-0.8996798476499938,0.9269101890894585,1.2076446233384712,1.1512908743417392,-1.2437309318975538,-1.3377642660508993,-0.20095952460456065,-0.1963946710182401,1.0237307912916203,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1
580,0.47664539263530786,-1.046478218484562,-0.46812336418620953,-0.8996798476499938,-0.5051780227462717,0.6267669786350218,-0.8223506245298137,1.2110011705318287,-1.3377642660508993,0.9980344839373329,1.0248622419324516,0.28531809586881296,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
742,1.4691812748581843,-0.22117993892260457,-0.46812336418620953,1.9100694659949107,0.9269101890894585,-1.4063047778270505,1.1512908743417392,1.2110011705318287,-0.43549520171800854,1.1524811697834074,1.1821766917362695,1.09850676044836,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
958,-1.3544121831896538,-0.22117993892260457,-0.46812336418620953,0.34988203304133314,0.9269101890894585,0.19110874510743492,1.1512908743417392,-0.016364880682862654,1.369042926947773,0.46153546994570593,-0.5151634245680816,-0.1944943728869352,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
423,0.8360118327504873,-0.22117993892260457,-0.46812336418620953,-0.8996798476499938,-1.0217272533835375,0.045889333931572594,-0.8223506245298137,-1.2437309318975538,-1.3377642660508993,-0.25786093517943015,1.0000231182792172,0.2635084381980971,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0
0,1.1012584909307388,-0.22117993892260457,-0.46812336418620953,0.9817226450293205,0.9269101890894585,-0.9706465442994636,-0.8223506245298137,-0.016364880682862654,0.46677386261488224,-0.16641223961267557,1.1863165456784752,0.7651305646245611,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1
523,-0.977933055449942,-0.22117993892260457,-0.46812336418620953,1.655921286871251,-1.8161443460187812,-0.38976889959601435,1.1512908743417392,1.2110011705318287,-0.43549520171800854,-0.40011446161660397,0.7102333423248158,0.2873952061231668,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1
219,0.6991103317542284,-0.22117993892260457,2.2051699592121947,-0.8996798476499938,0.9269101890894585,1.3528640345143335,1.1512908743417392,-0.016364880682862654,-1.3377642660508993,0.3924408999619358,0.40802400454379717,0.22456262092896173,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
245,1.4691812748581843,-0.22117993892260457,-0.46812336418620953,1.2288111525106562,0.04699529276252976,-0.6802077219477389,-0.8223506245298137,-1.2437309318975538,1.369042926947773,0.0429036635734516,1.612721501725666,0.8014799940757541,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1
543,-1.3886375584387185,-0.22117993892260457,-0.46812336418620953,0.8405292121828429,0.9269101890894585,-1.1158659554753259,1.1512908743417392,-1.2437309318975538,-1.3377642660508993,-0.3371164713372842,0.8385688145331935,-0.17268471521621936,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1
660,2.1109070607781475,1.42941662020131,-0.46812336418620953,0.6075600479861548,-1.3850929190732006,-0.24454948842015203,1.1512908743417392,-1.2437309318975538,-1.3377642660508993,-0.21315268401346127,1.0910999050077435,0.34347718299072183,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
435,-0.832475210641417,-1.046478218484562,-0.46812336418620953,1.0487895256313975,0.9269101890894585,-0.8254271331236013,-0.8223506245298137,-0.016364880682862654,-1.3377642660508993,0.0022597988771162246,0.010598026092046643,1.1099308668473065,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0
335,-0.6699046782083597,-0.22117993892260457,2.2051699592121947,-0.8996798476499938,0.9269101890894585,0.6267669786350218,-0.8223506245298137,-1.2437309318975538,-0.43549520171800854,-0.016029940236234694,-0.008031316647879162,0.6960666486672943,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1
895,-0.37043264477904353,-1.046478218484562,-0.46812336418620953,0.035726644957920446,0.9269101890894585,1.6433028568660581,1.1512908743417392,-1.2437309318975538,1.369042926947773,0.7541712957593206,-0.3661286826486752,0.06722151916165471,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
346,1.9654492159696224,-0.22117993892260457,2.2051699592121947,1.479429495813154,-0.6334247282837998,-1.6967436001787752,-0.8223506245298137,1.2110011705318287,-1.3377642660508993,-0.15218688696895818,-0.14671642371177127,-0.5725284391793428,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1
182,-0.7554681163310214,-1.046478218484562,1.3140721847460601,0.9040662569637579,0.9269101890894585,0.045889333931572594,-0.8223506245298137,1.2110011705318287,1.369042926947773,1.8718775749085432,1.9149308395066849,1.0668308290694632,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0
55,-1.5169827156227111,-0.22117993892260457,-0.46812336418620953,1.6241527644807936,0.9269101890894585,-1.2610853666511883,-0.8223506245298137,-0.016364880682862654,0.46677386261488224,1.7174308890624688,0.12444400950270434,0.9287029971549298,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0
919,-0.09662964278652592,-0.22117993892260457,-0.46812336418620953,-0.8996798476499938,-1.5240268500721894,-0.5349883107718767,1.1512908743417392,-0.016364880682862654,-1.3377642660508993,1.3191210150383823,-0.07840883366537665,0.9312993849728721,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0
677,-0.635679302959295,-1.046478218484562,-0.46812336418620953,1.0558491972737212,-0.5123028397205788,-1.1158659554753259,-0.8223506245298137,-0.016364880682862654,0.46677386261488224,-1.489370035478392,-1.3100153814715827,-1.7647897251784745,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0
418,0.6648849565051638,-1.046478218484562,-0.46812336418620953,-0.8996798476499938,0.9269101890894585,-0.8254271331236013,-0.8223506245298137,-0.016364880682862654,1.369042926947773,-1.286150711996715,-1.4052320221423147,-1.7575198392882359,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0
451,-0.9522640240131435,-0.22117993892260457,-0.46812336418620953,0.6110898838073168,-0.8970429563331631,-1.2610853666511883,-0.8223506245298137,1.2110011705318287,-1.3377642660508993,1.3557004932650842,-1.508728370697458,0.2416987805273813,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1
189,-0.6100102715224964,-0.22117993892260457,-0.46812336418620953,1.3135272122185429,0.9269101890894585,-0.09933007724428972,-0.8223506245298137,-1.2437309318975538,0.46677386261488224,2.2742518354022634,2.3247763797850527,1.4266901806362744,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1
853,0.5707651745702358,1.42941662020131,-0.46812336418620953,-0.8996798476499938,-0.5479269245921145,0.9172058009867465,-0.8223506245298137,-0.016364880682862654,1.369042926947773,0.053064629747535445,1.6334207714366946,1.2137863795650008,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
